Operon,PySIPS,PySR,Random,eggp_mo,gomea,symregg
-0.03 \pm 0.40,0.18 \pm 0.38,-0.18 \pm 1.23,0.10 \pm 0.43,-0.03 \pm 0.67,-0.46 \pm 1.00,0.00 \pm 0.64
0.53 \pm 0.63,0.78 \pm 0.21,0.78 \pm 0.23,0.81 \pm 0.16,0.79 \pm 0.18,0.71 \pm 0.15,-0.00 \pm 3.88
0.13 \pm 0.16,0.16 \pm 0.04,0.19 \pm 0.05,0.12 \pm 0.06,0.14 \pm 0.07,0.09 \pm 0.17,0.14 \pm 0.07
0.64 \pm 0.69,-8010.13 \pm 43876.34,0.68 \pm 0.27,-33.17 \pm 182.43,-0.40 \pm 6.59,-36.94 \pm 201.80,-0.30 \pm 6.29
0.90 \pm 0.02,0.80 \pm 0.06,0.79 \pm 0.05,0.49 \pm 0.12,0.91 \pm 0.04,0.94 \pm 0.01,0.91 \pm 0.03
0.93 \pm 0.01,0.78 \pm 0.03,0.78 \pm 0.03,0.55 \pm 0.06,0.94 \pm 0.02,0.92 \pm 0.03,0.93 \pm 0.02
0.89 \pm 0.04,0.73 \pm 0.04,0.80 \pm 0.03,0.35 \pm 0.04,0.86 \pm 0.05,0.85 \pm 0.02,0.82 \pm 0.14
-138488574326156.70 \pm 758533161151661.38,0.31 \pm 0.16,0.28 \pm 0.14,0.33 \pm 0.15,0.27 \pm 0.13,-7.40 \pm 40.05,0.28 \pm 0.16
0.39 \pm 0.02,0.37 \pm 0.02,0.38 \pm 0.02,0.29 \pm 0.02,0.37 \pm 0.03,0.39 \pm 0.02,0.37 \pm 0.02
0.78 \pm 0.06,0.76 \pm 0.08,0.57 \pm 0.36,0.75 \pm 0.06,0.73 \pm 0.13,0.54 \pm 0.40,0.68 \pm 0.14
0.56 \pm 0.01,0.55 \pm 0.01,0.54 \pm 0.01,0.54 \pm 0.00,0.55 \pm 0.01,0.56 \pm 0.05,0.55 \pm 0.01
0.41 \pm 0.04,0.42 \pm 0.01,0.42 \pm 0.01,0.40 \pm 0.01,0.42 \pm 0.01,-3.20 \pm 14.34,0.41 \pm 0.03
